-,60,_
21726,Hunter_Berserker,5*,flame,sword,7489,The_Lurker_in_the_Woods,Primal_Crisis,Dreadking_Rathalos,Agito2,Blade,Grace,Marth,Weapon,Hunter_Sarisse,<hit10 & hit15>,needs combo time from chain coability to keep combo & do c1 after s2,attack:168,force_strike:17054,skill_1:2744,skill_4:876,team_buff:882
17715,_c_Hunter_Berserker,5*,flame,sword,7489,The_Lurker_in_the_Woods,Primal_Crisis,Dreadking_Rathalos,Agito2,Blade,Grace,Marth,Weapon,Hunter_Sarisse,!<hit10 & hit15>,needs combo time from chain coability to keep combo & do c1 after s2,attack:135,force_strike:13850,skill_1:2186,skill_4:660,team_buff:882
-,60,affliction
24639,Hunter_Berserker,5*,flame,sword,7505,The_Lurker_in_the_Woods,Me_and_My_Bestie,Dreadking_Rathalos,Agito2,Blade,Grace,Marth,Weapon,Hunter_Sarisse,<hit10>,needs combo time from chain coability to keep combo & do c1 after s2,attack:190,force_strike:19492,skill_1:3118,skill_4:953,team_buff:882
22811,_c_Hunter_Berserker,5*,flame,sword,7505,The_Lurker_in_the_Woods,Me_and_My_Bestie,Dreadking_Rathalos,Agito2,Blade,Grace,Marth,Weapon,Hunter_Sarisse,!<hit10>,needs combo time from chain coability to keep combo & do c1 after s2,attack:176,force_strike:18043,skill_1:2847,skill_4:860,team_buff:882
-,120,_
23002,Hunter_Berserker,5*,flame,sword,7489,The_Lurker_in_the_Woods,Primal_Crisis,Dreadking_Rathalos,Agito2,Blade,Grace,Marth,Weapon,Hunter_Sarisse,<hit10 & hit15>,needs combo time from chain coability to keep combo & do c1 after s2,attack:197,force_strike:18090,skill_1:2873,skill_4:881,team_buff:959
18135,_c_Hunter_Berserker,5*,flame,sword,7489,The_Lurker_in_the_Woods,Primal_Crisis,Dreadking_Rathalos,Agito2,Blade,Grace,Marth,Weapon,Hunter_Sarisse,!<hit10 & hit15>,needs combo time from chain coability to keep combo & do c1 after s2,attack:153,force_strike:14133,skill_1:2224,skill_4:663,team_buff:959
-,120,affliction
25483,Hunter_Berserker,5*,flame,sword,7505,The_Lurker_in_the_Woods,Me_and_My_Bestie,Dreadking_Rathalos,Agito2,Blade,Grace,Marth,Weapon,Hunter_Sarisse,<hit10>,needs combo time from chain coability to keep combo & do c1 after s2,attack:218,force_strike:20152,skill_1:3193,skill_4:958,team_buff:959
23335,_c_Hunter_Berserker,5*,flame,sword,7505,The_Lurker_in_the_Woods,Me_and_My_Bestie,Dreadking_Rathalos,Agito2,Blade,Grace,Marth,Weapon,Hunter_Sarisse,!<hit10>,needs combo time from chain coability to keep combo & do c1 after s2,attack:199,force_strike:18412,skill_1:2898,skill_4:864,team_buff:959
-,180,_
23571,Hunter_Berserker,5*,flame,sword,7489,The_Lurker_in_the_Woods,Primal_Crisis,Dreadking_Rathalos,Agito2,Blade,Grace,Marth,Weapon,Hunter_Sarisse,<hit10 & hit15>,needs combo time from chain coability to keep combo & do c1 after s2,attack:192,force_strike:18457,skill_1:2910,skill_4:1027,team_buff:983
18380,_c_Hunter_Berserker,5*,flame,sword,7489,The_Lurker_in_the_Woods,Primal_Crisis,Dreadking_Rathalos,Agito2,Blade,Grace,Marth,Weapon,Hunter_Sarisse,!<hit10 & hit15>,needs combo time from chain coability to keep combo & do c1 after s2,attack:147,force_strike:14241,skill_1:2232,skill_4:774,team_buff:983
-,180,affliction
25918,Hunter_Berserker,5*,flame,sword,7505,The_Lurker_in_the_Woods,Me_and_My_Bestie,Dreadking_Rathalos,Agito2,Blade,Grace,Marth,Weapon,Hunter_Sarisse,<hit10>,needs combo time from chain coability to keep combo & do c1 after s2,attack:211,force_strike:20393,skill_1:3210,skill_4:1117,team_buff:983
23646,_c_Hunter_Berserker,5*,flame,sword,7505,The_Lurker_in_the_Woods,Me_and_My_Bestie,Dreadking_Rathalos,Agito2,Blade,Grace,Marth,Weapon,Hunter_Sarisse,!<hit10>,needs combo time from chain coability to keep combo & do c1 after s2,attack:192,force_strike:18553,skill_1:2908,skill_4:1008,team_buff:983
