-,60,_
33897,Natalie,5*,shadow,blade,5924,The_Chocolatiers,Tough_Love,Gala_Cat_Sith,Agito1,Wand,Curran,Summer_Patia,Weapon,Veronica,<always connect hits & hp≤40 & last offense & hp=20.0%>,,attack:3606,skill_1:17189,skill_4:8334,dx:1410,ds:3355
21070,_c_Natalie,5*,shadow,blade,4557,The_Chocolatiers,Tough_Love,Gala_Cat_Sith,Agito1,Wand,Curran,Summer_Patia,Weapon,Veronica,!<always connect hits & hp≤40 & last offense & hp=20.0%>,,attack:2959,skill_1:8888,skill_4:5248,dx:1175,ds:2797
-,60,affliction
35832,Natalie,5*,shadow,blade,5903,The_Chocolatiers,The_Plaguebringer,Gala_Cat_Sith,Agito1,Wand,Curran,Summer_Patia,Weapon,Veronica,<always connect hits & hp≤40 & hp=20.0%>,,attack:4182,skill_1:16713,skill_4:9575,dx:1846,ds:3514
21203,_c_Natalie,5*,shadow,blade,4540,The_Chocolatiers,The_Plaguebringer,Gala_Cat_Sith,Agito1,Wand,Curran,Summer_Patia,Weapon,Veronica,!<always connect hits & hp≤40 & hp=20.0%>,,attack:3252,skill_1:7991,skill_4:5707,dx:1464,ds:2787
-,120,_
34402,Natalie,5*,shadow,blade,5927,Heralds_of_Hinomoto,Dear_Diary,Gala_Cat_Sith,Agito1,Wand,Curran,Summer_Patia,Weapon,Veronica,<always connect hits & hp≤40 & hp=20.0%>,,attack:4005,skill_1:18945,skill_4:8800,dx:773,ds:1877
20025,_c_Natalie,5*,shadow,blade,4559,Heralds_of_Hinomoto,Dear_Diary,Gala_Cat_Sith,Agito1,Wand,Curran,Summer_Patia,Weapon,Veronica,!<always connect hits & hp≤40 & hp=20.0%>,,attack:3186,skill_1:9366,skill_4:5357,dx:619,ds:1495
-,120,affliction
42105,Natalie,5*,shadow,blade,5905,Heralds_of_Hinomoto,The_Plaguebringer,Gala_Cat_Sith,Agito1,Wand,Curran,Summer_Patia,Weapon,Veronica,<always connect hits & hp≤40 & hp=20.0%>,,attack:4686,skill_1:22047,skill_4:12291,dx:899,ds:2179
24154,_c_Natalie,5*,shadow,blade,4543,Heralds_of_Hinomoto,The_Plaguebringer,Gala_Cat_Sith,Agito1,Wand,Curran,Summer_Patia,Weapon,Veronica,!<always connect hits & hp≤40 & hp=20.0%>,,attack:3665,skill_1:10721,skill_4:7355,dx:706,ds:1704
-,180,_
35349,Natalie,5*,shadow,blade,5927,Heralds_of_Hinomoto,Dear_Diary,Gala_Cat_Sith,Agito1,Wand,Curran,Summer_Patia,Weapon,Veronica,<always connect hits & hp≤40 & hp=20.0%>,,attack:4197,skill_1:21019,skill_4:8376,dx:505,ds:1250
18033,_c_Natalie,5*,shadow,blade,4559,Heralds_of_Hinomoto,Dear_Diary,Gala_Cat_Sith,Agito1,Wand,Curran,Summer_Patia,Weapon,Veronica,!<always connect hits & hp≤40 & hp=20.0%>,,attack:3348,skill_1:9188,skill_4:4398,dx:402,ds:696
-,180,affliction
43097,Natalie,5*,shadow,blade,5905,Heralds_of_Hinomoto,The_Plaguebringer,Gala_Cat_Sith,Agito1,Wand,Curran,Summer_Patia,Weapon,Veronica,<always connect hits & hp≤40 & hp=20.0%>,,attack:4900,skill_1:24466,skill_4:11691,dx:586,ds:1451
21645,_c_Natalie,5*,shadow,blade,4543,Heralds_of_Hinomoto,The_Plaguebringer,Gala_Cat_Sith,Agito1,Wand,Curran,Summer_Patia,Weapon,Veronica,!<always connect hits & hp≤40 & hp=20.0%>,,attack:3842,skill_1:10518,skill_4:6028,dx:458,ds:795
