-,sp,_
16894,_c_Bellina,5*,shadow,dagger,7574,[Twinfold_Bonds+Howling_to_the_Heavens][Fatalis][Agito],!<hit15 & hp=1>,,attack:8012,force_strike:180,skill_1:8431,skill_2:246,dx:23
-,sp,kdb
37669,Bellina,5*,shadow,dagger,7574,[Twinfold_Bonds+Howling_to_the_Heavens][Fatalis][Agito],<hit15 & hp=1>,,attack:22037,force_strike:230,skill_1:16412,skill_2:960,dx:30
18583,_c_Bellina,5*,shadow,dagger,7574,[Twinfold_Bonds+Howling_to_the_Heavens][Fatalis][Agito],!<hit15 & hp=1>,,attack:9694,force_strike:198,skill_1:9274,skill_2:271,dx:25
-,sp,rdb
36614,Bellina,5*,shadow,dagger,7574,[Twinfold_Bonds+Howling_to_the_Heavens][Fatalis][Agito],<hit15 & hp=1>,,attack:18213,force_strike:209,skill_1:17158,skill_2:1004,dx:27
18196,_c_Bellina,5*,shadow,dagger,7574,[Twinfold_Bonds+Howling_to_the_Heavens][Fatalis][Agito],!<hit15 & hp=1>,,attack:8012,force_strike:180,skill_1:9695,skill_2:283,dx:23
-,sp,krdb
40275,Bellina,5*,shadow,dagger,7574,[Twinfold_Bonds+Howling_to_the_Heavens][Fatalis][Agito],<hit15 & hp=1>,,attack:22037,force_strike:230,skill_1:18874,skill_2:1104,dx:30
20015,_c_Bellina,5*,shadow,dagger,7574,[Twinfold_Bonds+Howling_to_the_Heavens][Fatalis][Agito],!<hit15 & hp=1>,,attack:9694,force_strike:198,skill_1:10665,skill_2:312,dx:25
