-,60,_
14084,Dragonyule_Xainfried,110021_03_r04,wind,wand,3978,A_Dogs_Day,Castle_Cheer_Corps,Freyja,Agito1,Dagger2,Bow,Tobias,Marty,Tobias,<buff all team>,no s2,attack:2687,fs:377,team_buff:11018
11140,_c_Dragonyule_Xainfried,110021_03_r04,wind,wand,3978,A_Dogs_Day,Castle_Cheer_Corps,Freyja,Agito1,Dagger2,Bow,Tobias,Marty,Tobias,!<buff all team>,no s2,attack:2687,fs:377,team_buff:8073
-,60,affliction
14084,Dragonyule_Xainfried,110021_03_r04,wind,wand,3978,A_Dogs_Day,Castle_Cheer_Corps,Freyja,Agito1,Dagger2,Bow,Tobias,Marty,Tobias,<buff all team>,no s2,attack:2687,fs:377,team_buff:11018
11140,_c_Dragonyule_Xainfried,110021_03_r04,wind,wand,3978,A_Dogs_Day,Castle_Cheer_Corps,Freyja,Agito1,Dagger2,Bow,Tobias,Marty,Tobias,!<buff all team>,no s2,attack:2687,fs:377,team_buff:8073
-,120,_
18207,Dragonyule_Xainfried,110021_03_r04,wind,wand,3978,A_Dogs_Day,Castle_Cheer_Corps,Freyja,Agito1,Dagger2,Bow,Tobias,Marty,Tobias,<buff all team>,no s2,attack:2935,fs:454,team_buff:14817
15493,_c_Dragonyule_Xainfried,110021_03_r04,wind,wand,3978,A_Dogs_Day,Castle_Cheer_Corps,Freyja,Agito1,Dagger2,Bow,Tobias,Marty,Tobias,!<buff all team>,no s2,attack:2935,fs:454,team_buff:12103
-,120,affliction
18207,Dragonyule_Xainfried,110021_03_r04,wind,wand,3978,A_Dogs_Day,Castle_Cheer_Corps,Freyja,Agito1,Dagger2,Bow,Tobias,Marty,Tobias,<buff all team>,no s2,attack:2935,fs:454,team_buff:14817
15493,_c_Dragonyule_Xainfried,110021_03_r04,wind,wand,3978,A_Dogs_Day,Castle_Cheer_Corps,Freyja,Agito1,Dagger2,Bow,Tobias,Marty,Tobias,!<buff all team>,no s2,attack:2935,fs:454,team_buff:12103
-,180,_
19639,Dragonyule_Xainfried,110021_03_r04,wind,wand,3978,A_Dogs_Day,Castle_Cheer_Corps,Freyja,Agito1,Dagger2,Bow,Tobias,Marty,Tobias,<buff all team>,no s2,attack:2995,fs:479,team_buff:16163
16921,_c_Dragonyule_Xainfried,110021_03_r04,wind,wand,3978,A_Dogs_Day,Castle_Cheer_Corps,Freyja,Agito1,Dagger2,Bow,Tobias,Marty,Tobias,!<buff all team>,no s2,attack:2995,fs:479,team_buff:13445
-,180,affliction
19639,Dragonyule_Xainfried,110021_03_r04,wind,wand,3978,A_Dogs_Day,Castle_Cheer_Corps,Freyja,Agito1,Dagger2,Bow,Tobias,Marty,Tobias,<buff all team>,no s2,attack:2995,fs:479,team_buff:16163
16921,_c_Dragonyule_Xainfried,110021_03_r04,wind,wand,3978,A_Dogs_Day,Castle_Cheer_Corps,Freyja,Agito1,Dagger2,Bow,Tobias,Marty,Tobias,!<buff all team>,no s2,attack:2995,fs:479,team_buff:13445
