-,60,_
46409,Gala_Cleo,5*,shadow,wand,4910,Candy_Couriers,Primal_Crisis,Gala_Cat_Sith,Agito2,Blade,Bow,Dagger,Weapon,Curran,<always connect hits & hit15 & a1 buff for 10s>,(the true cleo is here),attack:3798,skill_1:24059,skill_2:3585,skill_4:5884,team_buff:9080
27836,_c_Gala_Cleo,5*,shadow,wand,4910,Candy_Couriers,Primal_Crisis,Gala_Cat_Sith,Agito2,Blade,Bow,Dagger,Weapon,Curran,!<always connect hits & hit15 & a1 buff for 10s>,(the true cleo is here),attack:2289,skill_1:14565,skill_2:2079,skill_4:3801,team_buff:3058,dx:557,ds:1485
-,60,affliction
54297,Gala_Cleo,5*,shadow,wand,5660,Candy_Couriers,The_Fires_of_Hate,Gala_Cat_Sith,Agito2,Blade,Bow,Dagger,Weapon,Curran,<always connect hits & hp100 & a1 buff for 10s>,(the true cleo is here),attack:4157,skill_1:26259,skill_2:4038,skill_4:10759,team_buff:9080
35604,_c_Gala_Cleo,5*,shadow,wand,4922,Candy_Couriers,The_Fires_of_Hate,Gala_Cat_Sith,Agito2,Blade,Bow,Dagger,Weapon,Curran,!<always connect hits & hp100 & a1 buff for 10s>,(the true cleo is here),attack:2753,skill_1:17519,skill_2:2500,skill_4:7314,team_buff:3058,dx:670,ds:1786
-,120,_
51499,Gala_Cleo,5*,shadow,wand,4910,Candy_Couriers,Primal_Crisis,Gala_Cat_Sith,Agito2,Blade,Bow,Dagger,Weapon,Curran,<always connect hits & hit15 & a1 buff for 10s>,(the true cleo is here),attack:3916,skill_1:27363,skill_2:3859,skill_4:6314,team_buff:10044
27110,_c_Gala_Cleo,5*,shadow,wand,4910,Candy_Couriers,Primal_Crisis,Gala_Cat_Sith,Agito2,Blade,Bow,Dagger,Weapon,Curran,!<always connect hits & hit15 & a1 buff for 10s>,(the true cleo is here),attack:2317,skill_1:14321,skill_2:1862,skill_4:3927,team_buff:3092,dx:566,ds:1023
-,120,affliction
59569,Gala_Cleo,5*,shadow,wand,5660,Candy_Couriers,The_Fires_of_Hate,Gala_Cat_Sith,Agito2,Blade,Bow,Dagger,Weapon,Curran,<always connect hits & hp100 & a1 buff for 10s>,(the true cleo is here),attack:4267,skill_1:29763,skill_2:4261,skill_4:11232,team_buff:10044
34815,_c_Gala_Cleo,5*,shadow,wand,4922,Candy_Couriers,The_Fires_of_Hate,Gala_Cat_Sith,Agito2,Blade,Bow,Dagger,Weapon,Curran,!<always connect hits & hp100 & a1 buff for 10s>,(the true cleo is here),attack:2786,skill_1:17225,skill_2:2239,skill_4:7558,team_buff:3092,dx:680,ds:1231
-,180,_
51521,Gala_Cleo,5*,shadow,wand,4910,Candy_Couriers,Primal_Crisis,Gala_Cat_Sith,Agito2,Blade,Bow,Dagger,Weapon,Curran,<always connect hits & hit15 & a1 buff for 10s>,(the true cleo is here),attack:3987,skill_1:26820,skill_2:3948,skill_4:6453,team_buff:10311
22544,_c_Gala_Cleo,5*,shadow,wand,4910,Candy_Couriers,Primal_Crisis,Gala_Cat_Sith,Agito2,Blade,Bow,Dagger,Weapon,Curran,!<always connect hits & hit15 & a1 buff for 10s>,(the true cleo is here),attack:2375,skill_1:11321,skill_2:1493,skill_4:3312,team_buff:3281,dx:388,ds:369
-,180,affliction
59512,Gala_Cleo,5*,shadow,wand,5660,Candy_Couriers,The_Fires_of_Hate,Gala_Cat_Sith,Agito2,Blade,Bow,Dagger,Weapon,Curran,<always connect hits & hp100 & a1 buff for 10s>,(the true cleo is here),attack:4338,skill_1:29147,skill_2:4332,skill_4:11382,team_buff:10311
28841,_c_Gala_Cleo,5*,shadow,wand,4922,Candy_Couriers,The_Fires_of_Hate,Gala_Cat_Sith,Agito2,Blade,Bow,Dagger,Weapon,Curran,!<always connect hits & hp100 & a1 buff for 10s>,(the true cleo is here),attack:2857,skill_1:13617,skill_2:1796,skill_4:6375,team_buff:3281,dx:467,ds:444
