-,60,_
29425,Incognito_Nefaria,110053_03_r05,flame,wand,9447,Candy_Couriers,Primal_Crisis,Gala_Mars,Agito2,Nobunaga,Serena,Yuya,Weapon,Summer_Patia,<0 burn res & hp50 & hit10 & hit15>,no s2; using s2 is a ~1300 dps loss; 25% poison uptime,attack:3065,fs:342,s1:14227,s4:2940,s4_poison:529,dx:4491,ds:3828
19690,_c_Incognito_Nefaria,110053_03_r05,flame,wand,8453,Candy_Couriers,Primal_Crisis,Gala_Mars,Agito2,Nobunaga,Serena,Yuya,Weapon,Summer_Patia,!<0 burn res & hp50 & hit10 & hit15>,no s2; using s2 is a ~1300 dps loss; 25% poison uptime,attack:2113,fs:241,s1:9490,s4:1945,s4_poison:350,dx:2991,ds:2557
-,60,affliction
31975,Incognito_Nefaria,110053_03_r05,flame,wand,9467,Candy_Couriers,Me_and_My_Bestie,Gala_Mars,Agito2,Nobunaga,Serena,Yuya,Weapon,Summer_Patia,<0 burn res & hp50 & hit10>,no s2; using s2 is a ~1300 dps loss; 25% poison uptime,attack:3391,fs:389,s1:15425,s4:3175,s4_poison:571,dx:4868,ds:4153
25650,_c_Incognito_Nefaria,110053_03_r05,flame,wand,8470,Candy_Couriers,Me_and_My_Bestie,Gala_Mars,Agito2,Nobunaga,Serena,Yuya,Weapon,Summer_Patia,!<0 burn res & hp50 & hit10>,no s2; using s2 is a ~1300 dps loss; 25% poison uptime,attack:2752,fs:314,s1:12363,s4:2534,s4_poison:456,dx:3897,ds:3331
-,120,_
33642,Incognito_Nefaria,110053_03_r05,flame,wand,9447,Candy_Couriers,Primal_Crisis,Gala_Mars,Agito2,Nobunaga,Serena,Yuya,Weapon,Summer_Patia,<0 burn res & hp50 & hit10 & hit15>,no s2; using s2 is a ~1300 dps loss; 37% poison uptime,attack:3279,fs:438,s1:15849,s4:4865,s4_poison:875,dx:4493,ds:3840
22443,_c_Incognito_Nefaria,110053_03_r05,flame,wand,8453,Candy_Couriers,Primal_Crisis,Gala_Mars,Agito2,Nobunaga,Serena,Yuya,Weapon,Summer_Patia,!<0 burn res & hp50 & hit10 & hit15>,no s2; using s2 is a ~1300 dps loss; 37% poison uptime,attack:2219,fs:298,s1:10557,s4:3236,s4_poison:582,dx:2991,ds:2556
-,120,affliction
36487,Incognito_Nefaria,110053_03_r05,flame,wand,9467,Candy_Couriers,Me_and_My_Bestie,Gala_Mars,Agito2,Nobunaga,Serena,Yuya,Weapon,Summer_Patia,<0 burn res & hp50 & hit10>,no s2; using s2 is a ~1300 dps loss; 37% poison uptime,attack:3587,fs:484,s1:17173,s4:5268,s4_poison:948,dx:4866,ds:4157
29236,_c_Incognito_Nefaria,110053_03_r05,flame,wand,8470,Candy_Couriers,Me_and_My_Bestie,Gala_Mars,Agito2,Nobunaga,Serena,Yuya,Weapon,Summer_Patia,!<0 burn res & hp50 & hit10>,no s2; using s2 is a ~1300 dps loss; 37% poison uptime,attack:2890,fs:388,s1:13753,s4:4216,s4_poison:758,dx:3896,ds:3330
-,180,_
33436,Incognito_Nefaria,110053_03_r05,flame,wand,9447,Candy_Couriers,Primal_Crisis,Gala_Mars,Agito2,Nobunaga,Serena,Yuya,Weapon,Summer_Patia,<0 burn res & hp50 & hit10 & hit15>,no s2; using s2 is a ~1300 dps loss; 42% poison uptime,attack:3837,fs:555,s1:17260,s4:5284,s4_poison:950,dx:2989,ds:2558
22276,_c_Incognito_Nefaria,110053_03_r05,flame,wand,8453,Candy_Couriers,Primal_Crisis,Gala_Mars,Agito2,Nobunaga,Serena,Yuya,Weapon,Summer_Patia,!<0 burn res & hp50 & hit10 & hit15>,no s2; using s2 is a ~1300 dps loss; 42% poison uptime,attack:2577,fs:374,s1:11489,s4:3512,s4_poison:632,dx:1989,ds:1700
-,180,affliction
36236,Incognito_Nefaria,110053_03_r05,flame,wand,9467,Candy_Couriers,Me_and_My_Bestie,Gala_Mars,Agito2,Nobunaga,Serena,Yuya,Weapon,Summer_Patia,<0 burn res & hp50 & hit10>,no s2; using s2 is a ~1300 dps loss; 42% poison uptime,attack:4179,fs:607,s1:18695,s4:5719,s4_poison:1029,dx:3237,ds:2767
29019,_c_Incognito_Nefaria,110053_03_r05,flame,wand,8470,Candy_Couriers,Me_and_My_Bestie,Gala_Mars,Agito2,Nobunaga,Serena,Yuya,Weapon,Summer_Patia,!<0 burn res & hp50 & hit10>,no s2; using s2 is a ~1300 dps loss; 42% poison uptime,attack:3357,fs:487,s1:14967,s4:4575,s4_poison:823,dx:2592,ds:2215
