-,sp,_
34513,Gala_Cleo,5*,shadow,wand,5211,[Candy_Couriers+Jewels_of_the_Sun][Shinobi][Agito],<hp70 & always in a1>,4 GCleo,attack:7239,force_strike:0,skill_1:24210,skill_2:3062
16211,_c_Gala_Cleo,5*,shadow,wand,4810,[Candy_Couriers+Jewels_of_the_Sun][Shinobi][Agito],!<hp70 & always in a1>,4 GCleo,attack:3424,force_strike:0,skill_1:11332,skill_2:1454
-,sp,k
37964,Gala_Cleo,5*,shadow,wand,5211,[Candy_Couriers+Jewels_of_the_Sun][Shinobi][Agito],<hp70 & always in a1>,4 GCleo,attack:8759,force_strike:0,skill_1:26631,skill_2:3369
17832,_c_Gala_Cleo,5*,shadow,wand,4810,[Candy_Couriers+Jewels_of_the_Sun][Shinobi][Agito],!<hp70 & always in a1>,4 GCleo,attack:4143,force_strike:0,skill_1:12465,skill_2:1600
-,sp,r
34513,Gala_Cleo,5*,shadow,wand,5211,[Candy_Couriers+Jewels_of_the_Sun][Shinobi][Agito],<hp70 & always in a1>,4 GCleo,attack:7239,force_strike:0,skill_1:24210,skill_2:3062
16211,_c_Gala_Cleo,5*,shadow,wand,4810,[Candy_Couriers+Jewels_of_the_Sun][Shinobi][Agito],!<hp70 & always in a1>,4 GCleo,attack:3424,force_strike:0,skill_1:11332,skill_2:1454
-,sp,kr
37964,Gala_Cleo,5*,shadow,wand,5211,[Candy_Couriers+Jewels_of_the_Sun][Shinobi][Agito],<hp70 & always in a1>,4 GCleo,attack:8759,force_strike:0,skill_1:26631,skill_2:3369
17832,_c_Gala_Cleo,5*,shadow,wand,4810,[Candy_Couriers+Jewels_of_the_Sun][Shinobi][Agito],!<hp70 & always in a1>,4 GCleo,attack:4143,force_strike:0,skill_1:12465,skill_2:1600
-,sp,d
36895,Gala_Cleo,5*,shadow,wand,5211,[Candy_Couriers+Jewels_of_the_Sun][Shinobi][Agito],<hp70 & always in a1>,4 GCleo,attack:7739,force_strike:0,skill_1:25881,skill_2:3274
17330,_c_Gala_Cleo,5*,shadow,wand,4810,[Candy_Couriers+Jewels_of_the_Sun][Shinobi][Agito],!<hp70 & always in a1>,4 GCleo,attack:3660,force_strike:0,skill_1:12114,skill_2:1555
-,sp,kd
40585,Gala_Cleo,5*,shadow,wand,5211,[Candy_Couriers+Jewels_of_the_Sun][Shinobi][Agito],<hp70 & always in a1>,4 GCleo,attack:9364,force_strike:0,skill_1:28470,skill_2:3601
19063,_c_Gala_Cleo,5*,shadow,wand,4810,[Candy_Couriers+Jewels_of_the_Sun][Shinobi][Agito],!<hp70 & always in a1>,4 GCleo,attack:4429,force_strike:0,skill_1:13325,skill_2:1710
-,sp,rd
36895,Gala_Cleo,5*,shadow,wand,5211,[Candy_Couriers+Jewels_of_the_Sun][Shinobi][Agito],<hp70 & always in a1>,4 GCleo,attack:7739,force_strike:0,skill_1:25881,skill_2:3274
17330,_c_Gala_Cleo,5*,shadow,wand,4810,[Candy_Couriers+Jewels_of_the_Sun][Shinobi][Agito],!<hp70 & always in a1>,4 GCleo,attack:3660,force_strike:0,skill_1:12114,skill_2:1555
-,sp,krd
40585,Gala_Cleo,5*,shadow,wand,5211,[Candy_Couriers+Jewels_of_the_Sun][Shinobi][Agito],<hp70 & always in a1>,4 GCleo,attack:9364,force_strike:0,skill_1:28470,skill_2:3601
19063,_c_Gala_Cleo,5*,shadow,wand,4810,[Candy_Couriers+Jewels_of_the_Sun][Shinobi][Agito],!<hp70 & always in a1>,4 GCleo,attack:4429,force_strike:0,skill_1:13325,skill_2:1710
-,sp,b
39376,Gala_Cleo,5*,shadow,wand,4799,[Candy_Couriers+Primal_Crisis][Shinobi][Agito],<hit15 & always in a1>,4 GCleo,attack:8551,force_strike:0,skill_1:26993,skill_2:3831
16110,_c_Gala_Cleo,5*,shadow,wand,4799,[Candy_Couriers+Primal_Crisis][Shinobi][Agito],!<hit15 & always in a1>,4 GCleo,attack:3515,force_strike:0,skill_1:11010,skill_2:1585
-,sp,kb
43313,Gala_Cleo,5*,shadow,wand,4799,[Candy_Couriers+Primal_Crisis][Shinobi][Agito],<hit15 & always in a1>,4 GCleo,attack:10346,force_strike:0,skill_1:29692,skill_2:4214
17721,_c_Gala_Cleo,5*,shadow,wand,4799,[Candy_Couriers+Primal_Crisis][Shinobi][Agito],!<hit15 & always in a1>,4 GCleo,attack:4253,force_strike:0,skill_1:12111,skill_2:1743
-,sp,rb
39376,Gala_Cleo,5*,shadow,wand,4799,[Candy_Couriers+Primal_Crisis][Shinobi][Agito],<hit15 & always in a1>,4 GCleo,attack:8551,force_strike:0,skill_1:26993,skill_2:3831
16110,_c_Gala_Cleo,5*,shadow,wand,4799,[Candy_Couriers+Primal_Crisis][Shinobi][Agito],!<hit15 & always in a1>,4 GCleo,attack:3515,force_strike:0,skill_1:11010,skill_2:1585
-,sp,krb
43313,Gala_Cleo,5*,shadow,wand,4799,[Candy_Couriers+Primal_Crisis][Shinobi][Agito],<hit15 & always in a1>,4 GCleo,attack:10346,force_strike:0,skill_1:29692,skill_2:4214
