-,60,_
11428,Dragonyule_Nefaria,4*,water,bow,6143,Forest_Bonds,Primal_Crisis,Gaibhne_and_Creidhne,Agito1,Blade,Xander,Summer_Estelle,Gala_Elisanne,Ranzal,<hit10 & hit15 & buff all team>,37% poison uptime,attack:1163,force_strike:461,skill_1:3781,skill_4:2363,s4_poison:441,team_buff:1671,dx:1545
7211,_c_Dragonyule_Nefaria,4*,water,bow,6143,Forest_Bonds,Primal_Crisis,Gaibhne_and_Creidhne,Agito1,Blade,Xander,Summer_Estelle,Gala_Elisanne,Ranzal,!<hit10 & hit15 & buff all team>,37% poison uptime,attack:880,force_strike:337,skill_1:2780,skill_4:1745,s4_poison:326,dx:1141
-,60,affliction
11428,Dragonyule_Nefaria,4*,water,bow,6143,Forest_Bonds,Primal_Crisis,Gaibhne_and_Creidhne,Agito1,Blade,Xander,Summer_Estelle,Gala_Elisanne,Ranzal,<hit10 & hit15 & buff all team>,37% poison uptime,attack:1163,force_strike:461,skill_1:3781,skill_4:2363,s4_poison:441,team_buff:1671,dx:1545
7211,_c_Dragonyule_Nefaria,4*,water,bow,6143,Forest_Bonds,Primal_Crisis,Gaibhne_and_Creidhne,Agito1,Blade,Xander,Summer_Estelle,Gala_Elisanne,Ranzal,!<hit10 & hit15 & buff all team>,37% poison uptime,attack:880,force_strike:337,skill_1:2780,skill_4:1745,s4_poison:326,dx:1141
-,120,_
13313,Dragonyule_Nefaria,4*,water,bow,6143,Forest_Bonds,Primal_Crisis,Gaibhne_and_Creidhne,Agito1,Blade,Xander,Summer_Estelle,Gala_Elisanne,Ranzal,<hit10 & hit15 & buff all team>,46% poison uptime,attack:1214,force_strike:497,skill_1:4924,skill_4:3469,s4_poison:533,team_buff:1984,dx:688
8409,_c_Dragonyule_Nefaria,4*,water,bow,6143,Forest_Bonds,Primal_Crisis,Gaibhne_and_Creidhne,Agito1,Blade,Xander,Summer_Estelle,Gala_Elisanne,Ranzal,!<hit10 & hit15 & buff all team>,46% poison uptime,attack:908,force_strike:363,skill_1:3633,skill_4:2603,s4_poison:399,dx:500
-,120,affliction
13313,Dragonyule_Nefaria,4*,water,bow,6143,Forest_Bonds,Primal_Crisis,Gaibhne_and_Creidhne,Agito1,Blade,Xander,Summer_Estelle,Gala_Elisanne,Ranzal,<hit10 & hit15 & buff all team>,46% poison uptime,attack:1214,force_strike:497,skill_1:4924,skill_4:3469,s4_poison:533,team_buff:1984,dx:688
8409,_c_Dragonyule_Nefaria,4*,water,bow,6143,Forest_Bonds,Primal_Crisis,Gaibhne_and_Creidhne,Agito1,Blade,Xander,Summer_Estelle,Gala_Elisanne,Ranzal,!<hit10 & hit15 & buff all team>,46% poison uptime,attack:908,force_strike:363,skill_1:3633,skill_4:2603,s4_poison:399,dx:500
-,180,_
13631,Dragonyule_Nefaria,4*,water,bow,6143,Forest_Bonds,Primal_Crisis,Gaibhne_and_Creidhne,Agito1,Blade,Xander,Summer_Estelle,Gala_Elisanne,Ranzal,<hit10 & hit15 & buff all team>,56% poison uptime,attack:1367,force_strike:514,skill_1:4979,skill_4:3005,s4_poison:534,team_buff:2712,dx:517
8083,_c_Dragonyule_Nefaria,4*,water,bow,6143,Forest_Bonds,Primal_Crisis,Gaibhne_and_Creidhne,Agito1,Blade,Xander,Summer_Estelle,Gala_Elisanne,Ranzal,!<hit10 & hit15 & buff all team>,56% poison uptime,attack:1016,force_strike:375,skill_1:3670,skill_4:2238,s4_poison:398,dx:382
-,180,affliction
13631,Dragonyule_Nefaria,4*,water,bow,6143,Forest_Bonds,Primal_Crisis,Gaibhne_and_Creidhne,Agito1,Blade,Xander,Summer_Estelle,Gala_Elisanne,Ranzal,<hit10 & hit15 & buff all team>,56% poison uptime,attack:1367,force_strike:514,skill_1:4979,skill_4:3005,s4_poison:534,team_buff:2712,dx:517
8083,_c_Dragonyule_Nefaria,4*,water,bow,6143,Forest_Bonds,Primal_Crisis,Gaibhne_and_Creidhne,Agito1,Blade,Xander,Summer_Estelle,Gala_Elisanne,Ranzal,!<hit10 & hit15 & buff all team>,56% poison uptime,attack:1016,force_strike:375,skill_1:3670,skill_4:2238,s4_poison:398,dx:382
