107811,Gala Alex,100005_02_r05,shadow,sword,4270,The Shining Overlord,400167_02,The Fires of Hate,400413_02,Gala Cat Sìth,200017_01,Yitian Jian,301142_01_60502,Ieyasu,110313_01_r05,Wand,,Forte,110272_01_r05,Weapon,,Rodrigo,110046_01_r03,0 poison res & always connect hits & hp100,10.02s sim; 3 charges into bk + bk killer chain; no bk def adjustment,poison:100.0%;team:5.15539%,attack:3760,fs:924,s1_base1:6808,s1_break1:49372,s2_break2:46945
40843,Gala Luca,100006_09_r05,light,blade,4195,The Wyrmclan Duo,400407_02,Spirit of the Season,400393_02,Gala Thor,200018_01,Fragarach,302132_01_60401,Axe2,,Lucretia,110305_01_r05,Peony,110361_01_r05,Weapon,,Summer Patia,110335_02_r05,hp100 & hp70 & hit10 & hit15,avg buff icon 7.00 (s1 7.00),paralysis:100.0%;poison:24.8%;energy:10,attack:8011,s1:17687,s4:3965,s4_poison:713,dx:6125,ds_paralysis:164,ds:4174
1839,Halloween Lowen,110257_02_r04,flame,staff,3959,From Whence He Comes,400390_02,The Bridal Dragon,400096_02,Pop-Star Siren,210094_01,Gjallarhorn,308128_01_60102,Tobias,110352_01_r05,The Prince,100001_01_r04,Yuya,110344_01_r04,Patia,110335_01_r04,Summer Cleo,100004_04_r05,hp60,hlowen dps <= burn DoT,burn:100.0%;team:26.84342%;doublebuff:every 7.83s;energy:18,attack:1529,fs:17,dx:291
24685,Hunter Sarisse,100029_03_r05,water,bow,3908,The Lurker in the Woods,400418_02,Primal Crisis,400424_02,Gaibhne & Creidhne,210120_01,Ame no Hajiyumi,306128_01_60201,Dragonyule Cleo,100004_02_r05,Xander,110022_01_r05,Grace,110059_01_r05,Gala Elisanne,100002_13_r05,Marty,110261_01_r03,always connect hits & hit10 & hit15 & buff all team,8hit FS on A&O sized enemy (see special for 20hit); needs combo time to keep combo,frostbite:100.0%;team:21.86961%,attack:0,fs4:15480,fs4_extra1:3108,fs4_extra2:947,fs4_extra3:287,fs4_extra4:86,s1:4773
